ип,платформа,период,дата,неделя,выручка_с_продвижением,шт_заказы,шт_продажи,шт_возвраты,заказы_руб,возвраты_руб,нетто_руб,себестоимость,комиссия,логистика
Газизов,OZON,Декабрь очки,29-31.12,,269878.3900000002,336,356,-6,693537.0000000001,-9826,683711.0000000001,43712.12999999999,52245.200000000004,241292.92999999993
Газизов,OZON,Декабрь туники,29-31.12,,1227.31,0,1,0,1695,0,1695,579.18,247.34,220.35
Газизов,OZON,Январь очки,01-31.01,,1210005.3810918566,4746,2884,-114,5543263.000000003,-205289,5337974.000000003,345179.49000000017,502325.27999999974,2260482.020000001
Газизов,OZON,Январь туники,01-31.01,,194.05890814558097,1,1,0,2750,0,2750,579.18,291.14,1182.5
Газизов,OZON,Февраль очки,01-28.02,,2219015.680000009,6261,3571,-166,8243203,-367873,7875330,419172.9300000001,611576.5699999991,3386061.899999991
Газизов,OZON,Март очки,01.03,,61069.05000000002,265,117,-7,287193,-14997,272196,13558.619999999997,23878.710000000003,117044.27999999998
Газизов,OZON,,02-08.03,,628440.8900000004,1730,966,-44,2412901,-108837,2304064,112740.18,181140.99000000014,990747.5199999994
Газизов,OZON,,09-15.03,,1042621.9299999969,3441,1482,-60,3811249.999999999,-151138,3660111.999999999,174474.7199999999,265206.0100000001,1573218.160000002
Газизов,OZON,,16-22.03,,1696850.8300000003,3739,2068,-80,5407700.999999999,-202464,5205236.999999999,242347.7099999999,394820.8099999992,2238251.9099999997
Газизов,OZON,,23-29.03,,1441601.660000003,3744,1917,-95,5051300.000000003,-241264,4810036.000000003,222981.80999999997,396521.35000000027,2068315.48
Газизов,OZON,,30-31.03,,422641.05999999976,1087,548,-37,1468747,-97926,1370821,62352.6,119209.6,589267.9300000003
Газизов,OZON,Апрель,01-05.04,,1060476.3800000004,2198,1328,-64,3609566.000000001,-170753,3438813.000000001,155673.50999999998,288595.22000000003,1478689.5900000003
Газизов,OZON,,06-12.04,,1110093.8500000015,2771,1520,-75,4274111,-203428,4070683,178020.66,316170.40000000014,1867400.179999998
Газизов,OZON,,13-19.04,,1102418.9299999988,2529,1524,-73,4363266.999999998,-202888,4160378.999999998,179089.13999999998,308972.92,1989355.6099999999
Газизов,OZON,,20-26.04,,724351.3199999998,1820,1074,-65,3151371.999999999,-187420,2963951.999999999,124330.02,259618.61000000004,1422381.479999999
Газизов,OZON,,27-30.04,,404072.28000000014,995,556,-27,1638998,-79930,1559068,65528.789999999986,122838.92000000001,748275.2599999998
Газизов,OZON,Май,01-03.05,,225442.42000000016,870,382,-24,1125701,-71560,1054141,43839.23999999998,93088.14,505875.63999999984
Газизов,OZON,,04-10.05,,836994.959999999,2455,1166,-52,3425821,-153538,3272283,137977.53,251559.96000000002,1570415.2400000007
Газизов,OZON,,11-17.05,,891509.3200000003,2477,1251,-61,3675490.000000001,-178529,3496961.000000001,147202.49999999997,278106.18000000005,1678017.0200000007
Газизов,WB,Декабрь очки,29-31.12,1,62313.297755231964,129,127,-5,118047.57,-6409,111638.57,-7526,131438.57,15240.450000000004
Газизов,WB,Декабрь туники,29-31.12,1,-0.287755231956712,0,0,0,0,0,0,0,0,0
Газизов,WB,Январь очки,01.01-01.02,1-5,955718.8597039843,4961,2362,-53,1728382.78,-44657.88,1683724.9000000001,-58267.04,2245075.019999999,292876.6400000001
Газизов,WB,Январь туники,01.01-01.02,1-5,-186.42970398663167,1,0,0,0,0,0,0,0,0
Газизов,WB,Январь шапки,01.01-01.02,1-5,-172.96,0,0,0,0,0,0,0,0,0
Газизов,WB,Февраль 1 очки,02-08.02,6,539419.19,2829,1418,-25,894889.9299999998,-16453.5,878436.4299999998,-24887.06,1332487.9199999997,175437.39
Газизов,WB,Февраль 2 очки,09-15.02,7,811496.7500000002,3325,1882,-40,1236743.84,-26582.27,1210161.57,-41194.47,1879066.2,230374.86
Газизов,WB,Февраль 2 туники,09-15.02,7,1191.5700000000002,0,1,0,1407,0,1407,0,2079,579.18
Газизов,WB,Февраль 3 очки,16-22.02,8,1204943.1672468567,4413,2295,-43,1593380.0800000003,-29254.63,1564125.4500000004,-47007.29,2454411.5999999996,280478.8300000002
Газизов,WB,Февраль 3 туники,16-22.02,8,-0.867246857717446,0,0,0,0,0,0,0,0,0
Газизов,WB,Февраль 4 очки,23.02-01.03,9,1208387.9299999992,3950,2372,-63,1818463.7599999995,-46702.770000000004,1771760.9899999995,-73544.64,2805480.6099999994,288027.83999999997
Газизов,WB,Февраль 4 прочее,23.02-01.03,9,-170,,,,,,,,,
Газизов,WB,Март 1 очки,02-08.03,10,1238601.7400000007,3795,2096,-53,1702514.8200000003,-41251,1661263.8200000003,-65375.4,2592398.0200000005,254974.6799999999
Газизов,WB,Март 2 очки,09-15.03,11,2101556.839999998,8243,3480,-60,3014405.28,-49269.89,2965135.3899999997,-76772.74,4591228.819999999,424325.40000000026
Газизов,WB,Март 3 очки,16-22.03,12,2992994.9600000014,6902,4072,-94,3910621.7700000014,-85755,3824866.7700000014,-132706.71,5781348.000000003,494039.24
Газизов,WB,Март 4 очки,23-29.03,13,2696708.9000000022,6707,3565,-97,3582763.5599999996,-97407.33,3485356.2299999995,-146145.86,5241492.24,429364.7100000001
Газизов,WB,Апрель 1 очки,30.03-05.04,14,2335595.6700000004,5475,3012,-85,3007932.1,-82412.17,2925519.93,-124396.78,4436847.409999998,363233.15000000014
Газизов,WB,Апрель 2 очки,06-12.04,15,1648542.8000000005,3532,2176,-59,2198880.5300000003,-57961.37,2140919.16,-87984.17,3215487.17,261816.2
Газизов,WB,Апрель 3 очки,13-19.04,16,1468778.3100000003,3479,1972,-47,1966605.1999999995,-45569.59,1921035.6099999994,-68089.33,2871078.0699999994,238729.30999999994
Газизов,WB,Апрель 4 очки,20-26.04,17,1257598.6199999987,3101,1730,-35,1694803.0599999998,-35587.44,1659215.6199999999,-52946.24,2412337.0099999993,210794.49999999997
Газизов,WB,Апрель 5 очки,27.04-03.05,18,1135755.0999999996,2848,1619,-25,1568485.2099999993,-24497.18,1543988.0299999993,-35177.54,2160069.9299999997,198027.46999999997
Газизов,WB,Май 1 очки,04-10.05,19,1268914.2000000002,3857,1781,-43,1836894.3899999994,-42304,1794590.3899999994,-59373,2468167.2300000004,216179.16
Газизов,WB,Май 2 очки,11-17.05,20,1410542.1199999999,3888,1933,-52,2031952.2200000004,-54927.64,1977024.5800000005,-74515.34,2678564.0700000003,233882.51999999993
Евдокимов,OZON,Декабрь,29-31.12,1,36605.68000000001,53,90,3,146316,-4863,141453,10769.4,13464.419999999995,60824.78999999999
Евдокимов,OZON,Январь,01-04.01,1,1074.7100000000064,122,51,1,85937,-1600,84337,6252.96,8548.619999999999,36264.91
Евдокимов,OZON,,05-11.01,2,57707.570000000094,183,168,8,277715,-13822,263893,20205.96,28076.32999999999,113473.98999999993
Евдокимов,OZON,,12-18.01,3,36064.149999999994,144,122,2,211029,-3221,207808,15093.09,24172.28,89357.43999999999
Евдокимов,OZON,,19-25.01,4,34413.46999999999,154,91,2,161208,-3229,157979,11132.49,16989.460000000003,67930.97
Евдокимов,OZON,,26-31.01,5,-6034.709999999947,200,112,2,200558.00000000006,-3595,196963.00000000006,13886.49,20843.549999999992,84694.09
