метрика,категория,дек,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек2
wb_заказы_шт,WB,129,4967,14518,25647,18435,7745,,,,,,,
wb_продажи_шт,WB,127,2362,7968,13213,10509,3714,,,,,,,
wb_нетто_руб,WB,111638.57,1683724.9,5425891.44,11936622.21,10190678.25,3771614.97,,,,,,,
wb_выручка_всего_руб,WB,131438.57,2245075.02,8473525.33,18206467.08,15095819.59,5146731.3,,,,,,,
wb_выручка_вп_руб,WB,48126.54,833669.77,3161798.23,6851388.8,5687924.82,1957421.64,,,,,,,
wb_маржа_%,WB,0.37,0.37,0.37,0.38,0.38,0.38,,,,,,,
wb_выручка_после_вычетов_руб,WB,83312.03,1411405.25,5311727.1,11355078.28,9407894.77,3189309.66,,,,,,,
wb_реклама_вп_руб,WB,3151.36,38238.87,116867.52,286667.79,228974.13,82754.14,,,,,,,
wb_валовая_прибыль_руб,WB,62313.01,955359.47,3761643.74,9029862.44,7436584.5,1907455.32,,,,,,,
wb_себестоимость_руб,WB,15240.45,292876.64,974898.1,1602704.03,1272600.63,450061.68,,,,,,,
wb_себестоимость_%,WB,0.12,0.13,0.12,0.09,0.08,0.09,,,,,,,
wb_реклама_итого_руб,WB,20999.02,860532.78,2155620.36,3689264.84,3259930.27,1306731.34,,,,,,,
wb_реклама_%,WB,0.16,0.38,0.25,0.2,0.22,0.25,,,,,,,
wb_логистика_руб,WB,17381.1,276831.83,933452,1746311.82,1392229.4,472063.72,,,,,,,
wb_реклама_поиск_руб,WB,,113446,541649,515858,62861,337,,,,,,,
wb_реклама_акции_руб,WB,,404487,609161,1364049,1288620,24877,,,,,,,
wb_штрафы_руб,WB,3616.22,40336.35,33389.21,36082.62,48801.47,14337.62,,,,,,,
wb_расходы_итого_руб,WB,47072.56,257995.83,2181208.64,6063109.41,4875363.87,1432516.64,,,,,,,
ozon_выручка_всего_руб,Ozon,685406,5340724,7875330,17622466,16192895,7823385,,,,,,,
ozon_нетто_руб,Ozon,241513.28,2261664.52,3386061.9,7576845.28,7506102.12,3754307.9,,,,,,,
ozon_нетто_%,Ozon,0.35,0.42,0.43,0.43,0.46,0.48,,,,,,,
ozon_выручка_после_вычетов_руб,Ozon,443892.72,3079059.48,4489268.1,10045620.72,8686792.88,4069077.1,,,,,,,
ozon_возвраты_руб,Ozon,23425,205289,367873,816626,844419,403627,,,,,,,
ozon_возвраты_шт,Ozon,13,114,166,323,304,137,,,,,,,
ozon_выручка_без_возвратов_руб,Ozon,271105.7,1210199.44,2219015.68,5293225.42,4401412.76,1953946.7,,,,,,,
ozon_себестоимость_руб,Ozon,44291.31,345758.67,419172.93,828455.64,702642.12,329019.27,,,,,,,
ozon_себестоимость_%,Ozon,0.06,0.06,0.05,0.05,0.04,0.04,,,,,,,
ozon_реклама_итого_руб,Ozon,182830.89,1877123.07,2278956.17,4767393.15,4313631.48,2115130.4,,,,,,,
ozon_реклама_%,Ozon,0.27,0.35,0.29,0.27,0.27,0.27,,,,,,,
ozon_логистика_руб,Ozon,52492.54,502616.42,611576.57,1380777.47,1296196.07,622754.28,,,,,,,
ozon_логистика_по_единице_руб,Ozon,117209.05,1209155.24,1429687.69,2837128.92,2485148.05,1241618.16,,,,,,,
ozon_расходы_итого_руб,Ozon,226814.39,927846.77,1848965.75,4544501.78,3808781.64,1668906.43,,,,,,,
реклама_wb_ozon_итого_руб,Общее,,557124,670475,912580,1315759,1038440.86,200000,200000,200000,200000,200000,200000,200000
зп_логистика_руб,Общее,,74200,74200,84200,84200,134200,,,,,,,
зп_склад_руб,Общее,,60150,53000,68000,74200,74200,,,,,,,
зп_операционные_руб,Общее,,106900,106000,106000,266200,148799.62,,,,,,,
mp_stats_руб,Общее,,10600,10600,10600,10600,10600,,,,,,,
реклама_внешняя_руб,Общее,,,40000,103600,243800,157490.56,,,,,,,
реклама_другое_руб,Общее,,,42800,106400,168919,137935.68,,,,,,,
кредит_ежемесячный_руб,Общее,,150750,150750,,,138400,,,,,,,
расходы_операционные_итого_руб,Итого,273886.95,628718.6,3359699.39,9695031.19,7368386.51,2062982.21,-200000,-200000,-200000,-200000,-200000,-200000,-200000
налоги_руб,Итого,1011.21,15971.24,50775.41,111035.44,94225.19,215359.21,,,,,,,
итого_до_кредита_руб,Итого,267819.71,967166.32,3516438.19,9480833.51,7731311.04,2711589.58,-282353.5,-4782.5,-4782.5,-4782.5,-4782.5,-4782.5,-4782.5
кредит_выплата_руб,Итого,,1800000,1800000,1800000,1800000,1800000,,,,,,,
чистая_прибыль_руб,Итого,267819.71,-1389957.68,1045963.19,6768253.51,4615552.04,-126851.28,-482353.5,-204782.5,-204782.5,-204782.5,-204782.5,-204782.5,-204782.5
накопленный_cashflow_руб,Итого,309775.6,-1107567.72,9729930.71,10363875.53,16610522.46,25869620.05,30930981.97,30726199.47,30521416.97,30316634.47,30111851.97,29907069.47,29702286.97
